house,mp_key,allocated_amount,state,constituency,elected_nominated
Lok Sabha,LS_KARAN_BHUSHAN_SINGH,147000000.0,Uttar Pradesh,KAISERGANJ,
Lok Sabha,LS_KARTICK_CHANDRA_PAUL,202677986.56,West Bengal,RAIGANJ,
Lok Sabha,LS_KAUSHALENDRA_KUMAR,147000000.0,Bihar,NALANDA,
Lok Sabha,LS_KHAGEN_MURMU,147000000.0,West Bengal,MALDAHA UTTAR,
Lok Sabha,LS_KHALILUR_RAHAMAN,147000000.0,West Bengal,JANGIPUR,
Lok Sabha,LS_KINJARAPU_RAM_MOHAN_NAIDU,171200630.11,Andhra Pradesh,SRIKAKULAM,
Lok Sabha,LS_KIREN_RIJIJU,147000000.0,Arunachal Pradesh,ARUNACHAL WEST,
Lok Sabha,LS_KIRTI_VARDHAN_SINGH,147000000.0,Uttar Pradesh,GONDA,
Lok Sabha,LS_KISHAN_REDDY_GANGAPURAM,147000000.0,Telangana,SECUNDERABAD,
Lok Sabha,LS_KISHORI_LAL,171500000.0,Uttar Pradesh,AMETHI,
Lok Sabha,LS_KONDA_VISHWESHWAR_REDDY,233721420.96,Telangana,CHELVELLA,
Lok Sabha,LS_KOTA_SRINIVAS_POOJARY,147000000.0,Karnataka,UDUPI CHIKMAGALUR,
Lok Sabha,LS_KRIPANATH_MALLAH,147000000.0,Assam,KARIMGANJ (SC),
Lok Sabha,LS_KRISHAN_PAL_GURJAR,147000000.0,Haryana,FARIDABAD,
Lok Sabha,LS_KRISHNA_DEVI_SHIVSHANKER_PATEL,147000000.0,Uttar Pradesh,BANDA,
Lok Sabha,LS_KRISHNA_PRASAD_TENNETI,167796849.11,Andhra Pradesh,BAPATLA,
Lok Sabha,LS_KRITI_DEVI_DEBBARMAN,147000000.0,Tripura,TRIPURA EAST(ST),
Lok Sabha,LS_KULDEEP_INDORA,147000000.0,Rajasthan,GANGANAGAR(SC),
Lok Sabha,LS_KUNDURU_RAGHUVEER,162952022.0,Telangana,NALGONDA,
