mp_key,house,mp_name_raw,mp_name_normalized,state,constituency,elected_nominated
LS_BAPI_HALDAR,Lok Sabha,BAPI HALDAR,BAPI HALDAR,West Bengal,MATHURAPUR(SC),
LS_BASAVARAJ_BOMMAI,Lok Sabha,BASAVARAJ BOMMAI,BASAVARAJ BOMMAI,Karnataka,HAVERI,
LS_BASTIPATI_NAGARAJU_PANCHALINGALA,Lok Sabha,BASTIPATI NAGARAJU PANCHALINGALA,BASTIPATI NAGARAJU PANCHALINGALA,Andhra Pradesh,KURNOOL,
LS_BHAGIRATH_CHAUDHARY,Lok Sabha,Bhagirath Chaudhary,BHAGIRATH CHAUDHARY,Rajasthan,AJMER,
LS_BHAJAN_LAL_JATAV,Lok Sabha,BHAJAN LAL JATAV,BHAJAN LAL JATAV,Rajasthan,KARAULI-DHOLPUR(SC),
LS_BHARAT_SINGH_KUSHWAH,Lok Sabha,BHARAT SINGH KUSHWAH,BHARAT SINGH KUSHWAH,Madhya Pradesh,GWALIOR,
LS_BHARATBHAI_MANUBHAI_SUTARIYA,Lok Sabha,BHARATBHAI MANUBHAI SUTARIYA,BHARATBHAI MANUBHAI SUTARIYA,Gujarat,AMRELI,
LS_BHARATSINHJI_SHANKARJI_DABHI,Lok Sabha,Bharatsinhji Shankarji Dabhi,BHARATSINHJI SHANKARJI DABHI,Gujarat,PATAN,
LS_BHARTI_PARDHI,Lok Sabha,BHARTI PARDHI,BHARTI PARDHI,Madhya Pradesh,BALAGHAT,
LS_BHASKAR_MURLIDHAR_BHAGARE,Lok Sabha,BHASKAR MURLIDHAR BHAGARE,BHASKAR MURLIDHAR BHAGARE,Maharashtra,DINDORI(ST),
LS_BHAUSAHEB_RAJARAM_WAKCHAURE,Lok Sabha,BHAUSAHEB RAJARAM WAKCHAURE,BHAUSAHEB RAJARAM WAKCHAURE,Maharashtra,SHIRDI(SC),
LS_BHOJRAJ_NAG,Lok Sabha,BHOJRAJ NAG,BHOJRAJ NAG,Chhattisgarh,KANKER(ST),
LS_BHOLA_SINGH,Lok Sabha,Bhola Singh,BHOLA SINGH,Uttar Pradesh,BULANDSHAHR(SC),
LS_BHUMARE_SANDIPANRAO_ASARAM,Lok Sabha,BHUMARE SANDIPANRAO ASARAM,BHUMARE SANDIPANRAO ASARAM,Maharashtra,AURANGABAD_MH,
LS_BHUPATHIRAJU_SRINIVASA_VARMA,Lok Sabha,Bhupathiraju Srinivasa varma,BHUPATHIRAJU SRINIVASA VARMA,Andhra Pradesh,NARASAPURAM,
LS_BHUPENDER_YADAV,Lok Sabha,BHUPENDER YADAV,BHUPENDER YADAV,Rajasthan,ALWAR,
LS_BIBHU_PRASAD_TARAI,Lok Sabha,BIBHU PRASAD TARAI,BIBHU PRASAD TARAI,Odisha,JAGATSINGHPUR(SC),
