mp_key,house,mp_name_raw,mp_name_normalized,state,constituency,elected_nominated
LS_CN_ANNADURAI,Lok Sabha,CN Annadurai,CN ANNADURAI,Tamil Nadu,TIRUVANNAMALAI,
LS_D_M_KATHIR_ANAND,Lok Sabha,D M Kathir Anand,D M KATHIR ANAND,Tamil Nadu,VELLORE,
LS_D_RAVIKUMAR,Lok Sabha,D Ravikumar,D RAVIKUMAR,Tamil Nadu,VILUPPURAM(SC),
LS_DAGGUBATI_PURANDESHWARI,Lok Sabha,Daggubati Purandeshwari,DAGGUBATI PURANDESHWARI,Andhra Pradesh,RAJAHMUNDRY,
LS_DAGGUMALLA_PRASADA_RAO,Lok Sabha,DAGGUMALLA PRASADA RAO,DAGGUMALLA PRASADA RAO,Andhra Pradesh,CHITTOOR,
LS_DAMODAR_AGARWAL,Lok Sabha,DAMODAR AGARWAL,DAMODAR AGARWAL,Rajasthan,BHILWARA,
LS_DAROGA_PRASAD_SAROJ,Lok Sabha,DAROGA PRASAD SAROJ,DAROGA PRASAD SAROJ,Uttar Pradesh,LALGANJ (SC),
LS_DARSHAN_SINGH_CHOUDHARY,Lok Sabha,DARSHAN SINGH CHOUDHARY,DARSHAN SINGH CHOUDHARY,Madhya Pradesh,HOSHANGABAD,
LS_DEEPENDER_SINGH_HOODA,Lok Sabha,DEEPENDER SINGH HOODA,DEEPENDER SINGH HOODA,Haryana,ROHTAK,
LS_DEVENDRA_ALIAS_BHOLE_SINGH,Lok Sabha,Devendra Alias Bhole Singh,DEVENDRA ALIAS BHOLE SINGH,Uttar Pradesh,AKBARPUR,
LS_DEVESH_CHANDRA_THAKUR,Lok Sabha,DEVESH CHANDRA THAKUR,DEVESH CHANDRA THAKUR,Bihar,SITAMARHI,
LS_DEVESH_SHAKYA,Lok Sabha,DEVESH SHAKYA,DEVESH SHAKYA,Uttar Pradesh,ETAH,
LS_DEVUSINH_JESINGBHAI_CHAUHAN,Lok Sabha,Devusinh Jesingbhai Chauhan,DEVUSINH JESINGBHAI CHAUHAN,Gujarat,KHEDA,
LS_DHAIRYASHEEL_SAMBHAJIRAO_MANE,Lok Sabha,Dhairyasheel Sambhajirao Mane,DHAIRYASHEEL SAMBHAJIRAO MANE,Maharashtra,HATKANANGLE,
