work_id,anomaly_score,payment_anomaly_score,payment_anomaly_flag,payment_count,execution_anomaly_score,execution_anomaly_flag,consistency_review_flag,payment_exceeds_sanction_flag,execution_anomaly_reason,payment_data_available,financial_risk_0_100,payment_risk_0_100,execution_risk_0_100,combined_base_risk,final_risk_score,risk_level,investigation_priority
WS/MP745/2026-2027/202605,0.71893477482599,0.4876565874417543,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.76518784972022,90.04589787722318,0,94.90554286347171,94.90554286347171,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP831/2026-2027/302091,0.7187338495765171,0.5083756147102919,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.76019184652279,93.8324727481354,0,96.79633229732909,96.79633229732909,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18116/2026-2027/232150,0.7185049661040076,0.5334899079589436,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.75519584332534,96.9162363740677,0,98.33571610869652,98.33571610869652,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP756/2026-2027/171038,0.7184882658242487,0.4724332844339109,0,2,0,0,0,0,No execution anomaly or consistency issue detected,1,99.75019984012789,84.42340791738381,0,92.08680387875586,92.08680387875586,HIGH,HIGH_REVIEW
WS/MP073/2026-2027/304308,0.7183761310031194,0.5084274081316077,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.74520383693046,93.88984509466437,0,96.81752446579742,96.81752446579742,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18391/2026-2027/283791,0.7180835597335153,0.5397446925431003,0,2,0,0,0,0,No execution anomaly or consistency issue detected,1,99.74020783373302,97.31784279977052,0,98.52902531675177,98.52902531675177,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18421/2026-2027/225730,0.7179995349552195,0.4862199521814346,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.73521183053558,89.73034997131383,0,94.7327809009247,94.7327809009247,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP073/2026-2027/304301,0.7175665151359055,0.5157302762815308,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.73021582733813,95.12335054503728,0,97.4267831861877,97.4267831861877,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18102/2026-2027/286586,0.7171165474696121,0.4945540416967217,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.72521982414068,91.45869191049914,0,95.59195586731991,95.59195586731991,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18048/2026-2027/298600,0.7169548352915621,0.4945540416967217,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.72022382094325,91.45869191049914,0,95.58945786572119,95.58945786572119,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP391/2026-2027/273229,0.7168646468256541,0.485347667877675,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.7152278177458,89.52954675846242,0,94.62238728810411,94.62238728810411,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP189/2026-2027/296163,0.7167578117124996,0.5151049731557613,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.7027378097522,94.95123350545038,0,97.32698565760128,97.32698565760128,VERY_HIGH,VERY_HIGH_REVIEW
